username,history_created_at,location_picked_from,description
DanielBrym,"2017-01-20 09:04:15",56229,2MH-INB
DanielBrym,"2017-01-20 09:05:16",56229,2MH-INB
DanielBrym,"2017-01-20 09:06:07",56229,2MH-INB
DanielBrym,"2017-01-20 09:07:36",56229,2MH-INB
DanielBrym,"2017-01-20 09:08:25",56229,2MH-INB
DanielBrym,"2017-01-20 09:29:33",56229,2MH-INB
DanielBrym,"2017-01-20 09:48:36",56229,2MH-INB
DanielBrym,"2017-01-20 09:49:32",56229,2MH-INB
DanielBrym,"2017-01-20 09:52:38",56229,2MH-INB
DanielBrym,"2017-01-20 09:54:40",56229,2MH-INB
DanielBrym,"2017-01-20 09:55:36",56229,2MH-INB
DanielBrym,"2017-01-20 09:56:30",56229,2MH-INB
DanielBrym,"2017-01-20 09:57:25",56229,2MH-INB
DanielBrym,"2017-01-20 09:59:27",56229,2MH-INB
DanielBrym,"2017-01-20 10:10:28",56229,2MH-INB
DanielBrym,"2017-01-20 10:11:24",56229,2MH-INB
DanielBrym,"2017-01-20 10:23:11",56229,2MH-INB
DanielBrym,"2017-01-20 10:24:50",56229,2MH-INB
DanielBrym,"2017-01-20 10:26:04",56229,2MH-INB
DanielBrym,"2017-01-20 10:27:17",56229,2MH-INB
DanielBrym,"2017-01-20 10:32:09",56229,2MH-INB
DanielBrym,"2017-01-20 10:32:59",56229,2MH-INB
DanielBrym,"2017-01-20 10:33:42",56229,2MH-INB
DanielBrym,"2017-01-20 10:34:28",56229,2MH-INB
DanielBrym,"2017-01-20 10:35:19",56229,2MH-INB
DanielBrym,"2017-01-20 10:36:21",56229,2MH-INB
DanielBrym,"2017-01-20 10:37:15",56229,2MH-INB
DanielBrym,"2017-01-20 11:31:32",56229,2MH-INB
DanielBrym,"2017-01-20 11:32:23",56229,2MH-INB
DanielBrym,"2017-01-20 11:33:09",56229,2MH-INB
DanielBrym,"2017-01-20 11:34:04",56229,2MH-INB
DanielBrym,"2017-01-20 11:34:52",56229,2MH-INB
DanielBrym,"2017-01-20 11:35:44",56229,2MH-INB
DanielBrym,"2017-01-20 11:36:36",56229,2MH-INB
DanielBrym,"2017-01-20 11:37:33",56229,2MH-INB
DanielBrym,"2017-01-20 11:38:15",56229,2MH-INB
DanielBrym,"2017-01-20 11:51:59",56229,2MH-INB
DanielBrym,"2017-01-20 11:52:46",56229,2MH-INB
DanielBrym,"2017-01-20 11:53:36",56229,2MH-INB
DanielBrym,"2017-01-20 11:54:24",56229,2MH-INB
DanielBrym,"2017-01-20 11:55:10",56229,2MH-INB
DanielBrym,"2017-01-20 11:56:04",56229,2MH-INB
DanielBrym,"2017-01-20 11:56:51",56229,2MH-INB
DanielBrym,"2017-01-20 12:04:14",56229,2MH-INB
DanielBrym,"2017-01-20 12:04:15",56229,2MH-INB
DanielBrym,"2017-01-20 12:05:10",56229,2MH-INB
DanielBrym,"2017-01-20 12:09:06",56229,2MH-INB
DanielBrym,"2017-01-20 12:09:54",56229,2MH-INB
DanielBrym,"2017-01-20 12:10:43",56229,2MH-INB
DanielBrym,"2017-01-20 12:11:26",56229,2MH-INB
DanielBrym,"2017-01-20 12:12:12",56229,2MH-INB
DanielBrym,"2017-01-20 12:19:31",56229,2MH-INB
DanielBrym,"2017-01-20 14:47:34",56229,2MH-INB
DanielBrym,"2017-01-20 14:48:39",56229,2MH-INB
DanielBrym,"2017-01-20 14:49:16",56229,2MH-INB
DanielBrym,"2017-01-20 14:52:57",56229,2MH-INB
DanielBrym,"2017-01-20 14:52:58",56229,2MH-INB
DanielBrym,"2017-01-20 14:53:48",56229,2MH-INB
DanielBrym,"2017-01-20 14:54:18",56229,2MH-INB
DanielBrym,"2017-01-20 14:59:37",56229,2MH-INB
Dino3,"2017-01-20 11:43:10",2,INB
Dino3,"2017-01-20 11:43:17",2,INB
Dino3,"2017-01-20 11:43:22",2,INB
Dino3,"2017-01-20 11:43:28",2,INB
Dino3,"2017-01-20 11:43:32",2,INB
Dino3,"2017-01-20 11:43:37",2,INB
Dino3,"2017-01-20 11:43:42",2,INB
Dino3,"2017-01-20 11:43:47",2,INB
Dino3,"2017-01-20 11:46:34",2,INB
Dino3,"2017-01-20 11:46:48",2,INB
Dino3,"2017-01-20 11:46:57",2,INB
Dino3,"2017-01-20 11:47:11",2,INB
Dino3,"2017-01-20 11:47:21",2,INB
Dino3,"2017-01-20 11:48:06",2,INB
Dino3,"2017-01-20 11:48:12",2,INB
Dino3,"2017-01-20 11:48:19",2,INB
Dino3,"2017-01-20 11:50:16",2,INB
Dino3,"2017-01-20 11:50:25",2,INB
FlorianDollhardt,"2017-01-20 10:18:12",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:18:12",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:21:22",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:23:36",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:56:24",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:56:24",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:57:47",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:57:47",56229,2MH-INB
FlorianDollhardt,"2017-01-20 10:58:55",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:03:19",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:03:19",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:04:30",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:04:31",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:05:22",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:10:13",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:11:15",56229,2MH-INB
FlorianDollhardt,"2017-01-20 11:12:18",56229,2MH-INB
